ID,Name,Environmental data? Y/N/Part,"Priority (1,2,3)"
org-aurin-5c1bea61-e8b8-4abb-9c1c-f0293d049139,Australian Energy Market Operator,,
org-aurin-6070aa13-145c-4090-ac5e-cbf504dfdcc7,Government of Victoria - Crime Statistics Agency,,
org-aurin-615179fe-874a-4ccf-9e1c-e681533a1519,Clean Air and Urban Landscapes Hub (CAUL),Part,
org-aurin-6e99dd6d-7f34-44d8-91cf-42e8bc5634c9,Government of Victoria - VicHealth,,
org-aurin-6fdd57b6-c485-48b4-8ab0-f9f6d9485167,Energex,Part,
org-aurin-71e78a13-a579-4dd2-80c8-ae4bdd97a1ed,Government of Victoria - Victorian Commission for Gambling and Liquor Regulation,,
org-aurin-739138ef-bf92-4e6c-9f58-73b44d96b185,Australian Property Monitors,,
org-aurin-7ac0d99c-b116-4c0a-9d61-9fcab7b2fd40,Australian Government - Department of Social Services,,
org-aurin-7d2aa882-98bc-40a1-947b-e5d313b882a1,Torrens University Australia - Public Health Information Development Unit,,
org-aurin-7e2fac95-6db7-4633-8a6b-f8886f0e2321,Bicycle Network,,
org-aurin-82d42aec-6fde-4f6f-94fc-ee89cc941608,Victoria State Government - Department of Treasury and Finance,,
org-aurin-8417d014-5322-4b09-b19f-80a92d8bfc9c,Australian Curriculum Assessment and Reporting Authority,,
org-aurin-872f12f8-9547-4f8d-9619-b0aec91f472f,University of Canberra - National Centre for Social and Economic Modelling,,
org-aurin-8c693cb4-68eb-44b6-9c10-d49e566d4cd2,OpenStreetMap,,
org-aurin-8c86fb58-5137-410c-b040-42bb4635d8cb,Government of the Commonwealth of Australia - Australian Institute of Health and Welfare,,
org-aurin-8f57fd48-810a-4276-9650-898fa4e3d3e0,University of New South Wales - City Futures Research Centre,,
org-aurin-94be8e00-92d0-4d65-8432-cd5478dc4a5e,Grattan Institute,Part,
org-aurin-9ea47b22-3af4-4b11-a1d2-314bcd83b3f1,Government of South Australia - Department for Education and Child Development,,
org-aurin-9f7df453-111c-4d4e-a176-4d606980e6d0,Government of the Commonwealth of Australia - Department of Human Services,,
org-aurin-a6581c37-232a-4aa0-aef1-5eea5d481cf0,Government of Victoria - Department of Education and Training,,
org-aurin-a8ce26c1-7e60-42f5-903e-44817d2db79f,RP Data Pty Ltd trading as CoreLogic,,
org-aurin-a9248756-8f1f-4445-8759-3bdaa7a7b20c,Yarra Valley Water,Y,
org-aurin-a979bc6a-efd2-402f-b55d-7866b2dcd9e2,SGS Economics,,
org-aurin-a9fdde67-19f1-4514-a238-f43b99556189,Government of South Australia - Department of Environment Water and Natural Resources,Y,
org-aurin-aa90683e-e6a8-41a4-ad1d-9bc10e915f03,Griffith University - Urban Research Program,Part,
org-aurin-afef4062-405f-496c-ad96-6403f81bacff,Government of South Australia - Local Government Association of South Australia,,
org-aurin-b25bf56f-31ab-4918-b881-b9de485972c3,Government of Victoria - Department of Health and Human Services,,
org-aurin-b26ddc63-7c74-4c7a-8164-c7d0bc7ace2a,Government of Tasmania - Department of State Growth,,
org-aurin-b5edf831-e7b0-4db1-a4d9-8e9e388ba716,Government of the Commonwealth of Australia - Department of Employment,,
org-aurin-b72dd1be-6e12-4129-93b5-60171cca3520,Government of the Commonwealth of Australia - Australian Electoral Commission,,
org-aurin-b737b765-c718-49aa-8a7e-3cf8b0999394,PSMA Australia Limited,,
org-aurin-b934d818-43a9-40b0-89af-6e57066eb39c,Government of New South Wales - Department of Education,,
org-aurin-c060608b-2ba7-4e4e-8d3f-0889b586ce36,Government of the Commonwealth of Australia - Department of the Environment,Y,
org-aurin-c1f1c929-fc25-4e47-abfa-84627f5ad7f9,Government of the Commonwealth of Australia - Australian Bureau of Statistics,,
org-aurin-c649619f-0f43-4958-b2a2-b6359a4c0b83,"Government of the Australian Capital Territory - Environment, Planning and Sustainable Development Directorate",Y,
org-aurin-ca25616a-3a11-44e3-97a7-66a7cea7cd70,Local Government of Queensland - Brisbane City Council,Part,
org-aurin-cf8b6e47-2a78-469d-9d1a-757219d40858,Government of New South Wales - Department of Planning and Environment,Part,
org-aurin-d17ee73a-f977-4d2f-be06-4eaedf3b9f02,Local Government of South Australia - City of Salisbury,Part,
org-aurin-d2915425-14d0-4e30-997d-365f2f96bdfb,Local Government of Victoria - City of Melbourne,Part,
org-aurin-d317a799-a148-46bf-bfff-2ea430e15f93,Government of Queensland - Department of Education and Training,,
org-aurin-d7436f83-05d0-432a-a476-6e3e3193d92a,Government of the Commonwealth of Australia - Australian Early Development Census,,
org-aurin-d8fa727c-d515-4f5f-a03d-32be5b73aaa8,Government of Queensland - Department of Natural Resources and Mines,Part,
org-aurin-dbae0242-5511-4b28-801b-7c248a8b5a19,Central Highlands Water,Y,
org-aurin-dcc029fa-0c4a-44dd-be02-31f9bbe3d9f5,"Government of Tasmania - Department Of Primary Industries, Parks, Water And Environment",Y,
org-aurin-e12eab9e-6a6b-4ed1-9bf4-3c77bf1f5a92,Local Government of Victoria - Wyndham City Council,Part,
org-aurin-e5f8cd72-2609-4d8c-81c7-c106f4d189de,Government of Victoria - Sustainability Victoria,Part,
org-aurin-e6d87f87-838b-448c-87a9-af9d2b61b7fd,NSW Bureau of Crime Statistics and Research,,
org-aurin-e6db5956-5081-43fd-a1aa-d4cc33ef4ace,Transport Canberra and City Services Directorate,,
org-aurin-e8ac83a5-2635-46b8-b09d-66f1bc683090,Government of the Commonwealth of Australia - Geoscience Australia,Y,
org-aurin-ec81c033-7b68-42f7-b56e-866a69ce3795,Government of the Commonwealth of Australia - Attorney-Generals Department,,
org-aurin-f0c8aee7-9cc8-4833-a7dc-1422d8fad627,Jemena,Part,
org-aurin-f4afba43-c66a-41bc-bef3-12056a40bacf,Government of the Commonwealth of Australia - Australian Business Register,,
